GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ERP Common,com.erp.common.response,Result,76,59,0,0,18,17,12,10,12,10
ERP Common,com.erp.common.response,ResultCode,25,407,4,0,4,50,3,4,1,4
ERP Common,com.erp.common.entity,BaseEntity,70,0,0,0,23,0,16,0,16,0
ERP Common,com.erp.common.util,JsonUtils,149,0,26,0,44,0,21,0,8,0
ERP Common,com.erp.common.util,DateUtils,128,0,40,0,30,0,34,0,14,0
ERP Common,com.erp.common.util,JsonUtils.new TypeReference() {...},3,0,0,0,1,0,1,0,1,0
ERP Common,com.erp.common.config,MyBatisPlusConfig,20,0,0,0,5,0,2,0,2,0
ERP Common,com.erp.common.config,MyBatisPlusConfig.MyMetaObjectHandler,71,0,0,0,13,0,4,0,4,0
ERP Common,com.erp.common.exception,BaseException,88,0,0,0,32,0,11,0,11,0
ERP Common,com.erp.common.exception,BusinessException,36,0,0,0,14,0,7,0,7,0
