GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ERP User Service,com.erp.user.aspect,PermissionAspect,208,0,32,0,50,0,21,0,5,0
ERP User Service,com.erp.user.dto,UserDTO,73,62,0,0,14,30,14,16,14,16
ERP User Service,com.erp.user.dto,LoginRequest,22,17,0,0,7,7,5,5,5,5
ERP User Service,com.erp.user.dto,ChangePasswordRequest,26,0,0,0,11,0,8,0,8,0
ERP User Service,com.erp.user.dto,LoginResponse,19,31,0,0,5,13,4,8,4,8
ERP User Service,com.erp.user.dto,RegisterRequest,10,45,0,0,1,19,1,13,1,13
ERP User Service,com.erp.user.annotation,RequirePermission.Logical,15,0,0,0,2,0,1,0,1,0
ERP User Service,com.erp.user.service.impl,RoleServiceImpl,113,132,21,17,23,25,22,9,5,7
ERP User Service,com.erp.user.service.impl,UserServiceImpl,642,303,95,17,128,69,66,16,11,15
ERP User Service,com.erp.user.service.impl,PermissionServiceImpl,276,0,40,0,58,0,35,0,15,0
ERP User Service,com.erp.user.service.impl,SecurityAuditServiceImpl,352,0,30,0,80,0,26,0,11,0
ERP User Service,com.erp.user.util,JwtUtil,185,0,6,0,40,0,18,0,15,0
ERP User Service,com.erp.user.entity,UserRole,25,0,0,0,9,0,6,0,6,0
ERP User Service,com.erp.user.entity,LoginLog,91,35,0,0,25,17,19,9,19,9
ERP User Service,com.erp.user.entity,User,56,68,0,0,14,28,8,20,8,20
ERP User Service,com.erp.user.entity,AuditLog,170,0,0,0,57,0,38,0,38,0
ERP User Service,com.erp.user.entity,Permission,97,0,0,0,33,0,22,0,22,0
ERP User Service,com.erp.user.entity,RolePermission,14,11,0,0,4,5,3,3,3,3
ERP User Service,com.erp.user.entity,Role,26,35,0,0,6,15,4,10,4,10
ERP User Service,com.erp.user.controller,PermissionController,102,0,0,0,26,0,13,0,13,0
ERP User Service,com.erp.user.controller,RoleController,86,0,0,0,22,0,11,0,11,0
ERP User Service,com.erp.user.controller,UserController,143,0,0,0,36,0,18,0,18,0
ERP User Service,com.erp.user.security,JwtAuthenticationEntryPoint,19,0,0,0,6,0,2,0,2,0
ERP User Service,com.erp.user.security,UserDetailsServiceImpl,72,0,8,0,16,0,6,0,2,0
ERP User Service,com.erp.user.security,JwtAuthenticationFilter,81,0,12,0,20,0,9,0,3,0
ERP User Service,com.erp.user.service,SecurityAuditService.LoginStatistics,38,0,0,0,16,0,11,0,11,0
ERP User Service,com.erp.user,UserServiceApplication,8,0,0,0,3,0,2,0,2,0
ERP User Service,com.erp.user.config,SecurityConfig,104,0,0,0,17,0,8,0,8,0
